id,name,portfolio_id/id,programme_id/id,outcome_id/id
pm_output_housing,Housing delivery,pm_portfolio_2025_26,pm_programme_hsd,pm_outcome_integrated
pm_output_informal,Informal settlements upgrading,pm_portfolio_2025_26,pm_programme_hsd,pm_outcome_integrated
pm_output_finance,Affordable housing finance,pm_portfolio_2025_26,pm_programme_hsd,pm_outcome_integrated
pm_output_amenities,Social and economic amenities,pm_portfolio_2025_26,pm_programme_hsd,pm_outcome_integrated
pm_output_tenure,Land and tenure security,pm_portfolio_2025_26,pm_programme_hsd,pm_outcome_integrated
pm_output_empowerment,Economic empowerment and jobs,pm_portfolio_2025_26,pm_programme_support,pm_outcome_empowerment
pm_output_municipal,Municipal support and capability,pm_portfolio_2025_26,pm_programme_support,pm_outcome_empowerment
